stamp_abs,stamp_rel,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz
1778504678.069796801,703.718380928,-0.007022429,0.007499217,0.001472926,0.013369372,-0.008419116,-0.003359093,0.999869539,0.026685685,-0.016926661,-0.006493169,0.018591181,0.004524432,-0.002021432
1778504678.169336319,703.817920446,-0.005749572,0.008536067,0.003357337,0.012800899,-0.010253681,-0.004970704,0.999853135,0.025504296,-0.020633074,-0.009679647,0.015364436,0.011099124,0.003254266
1778504678.272779942,703.921364069,-0.005077093,0.011013766,0.004261502,0.012009716,-0.010170490,-0.005234256,0.999862456,0.023916946,-0.020465334,-0.010225102,0.012432595,0.021650527,0.004602635
1778504678.368777990,704.017362118,-0.004695040,0.010426792,0.003693935,0.014172577,-0.011993256,-0.004838455,0.999815928,0.028235843,-0.024121583,-0.009338029,0.005704820,0.011496491,0.001842153
1778504678.471453428,704.120037556,-0.004542723,0.011236542,0.002463577,0.015304991,-0.011609878,-0.002983003,0.999811017,0.030547980,-0.023308788,-0.005611053,0.002575177,0.008570032,-0.001880613
1778504678.571469307,704.220053434,-0.003969505,0.011334525,0.001476286,0.016389023,-0.009916183,-0.002458634,0.999813495,0.032735506,-0.019910572,-0.004592245,0.005909555,0.002971611,-0.004022275
1778504678.671114445,704.319698572,-0.003659235,0.010533258,0.003020856,0.016492915,-0.010560472,-0.002419549,0.999805284,0.032941661,-0.021198230,-0.004490833,0.003728654,-0.003534538,0.000749645
1778504678.752728701,704.401312828,-0.004215194,0.011148173,0.004556127,0.015943206,-0.012099692,-0.001135687,0.999799041,0.031867269,-0.024233106,-0.001885657,-0.003131015,-0.000861106,0.003999480
1778504678.863662958,704.512247086,-0.002975974,0.009424617,0.006218148,0.016446444,-0.011197748,-0.001088728,0.999801450,0.032876164,-0.022428741,-0.001809154,0.001592904,-0.009664256,0.007185391
1778504678.965339661,704.613923788,-0.002950791,0.006700306,0.007100021,0.017359115,-0.010828315,-0.001288650,0.999789852,0.034698156,-0.021698521,-0.002201337,0.000901241,-0.020301752,0.007397028
1778504679.071414232,704.719998360,-0.002939497,0.004941173,0.006849995,0.016791599,-0.009241767,-0.001087368,0.999815708,0.033568969,-0.018517703,-0.001864287,0.003754499,-0.021226705,0.005171296
